address,name,size,status,match_percent,unit,evidence
0x004365F0,th095::SceneSaveDataView::CountCapturedScenes,130,matching,100.00,scene-select-count-captured-scenes,python3 scripts/build.py --unit scene-select-count-captured-scenes && python3 scripts/compare-coff-function.py --unit scene-select-count-captured-scenes --json
0x00436680,th095::SceneSaveDataView::CountCapturedScenesInGroup,106,matching,100.00,scene-select-count-captured-in-group,python3 scripts/build.py --unit scene-select-count-captured-in-group && python3 scripts/compare-coff-function.py --unit scene-select-count-captured-in-group --json
0x004366F0,th095::SceneSaveDataView::GetSceneGroupUnlockScore,98,matching,100.00,scene-select-get-group-unlock-score,python3 scripts/build.py --unit scene-select-get-group-unlock-score && python3 scripts/compare-coff-function.py --unit scene-select-get-group-unlock-score --json
0x00452D70,th095::AnmVmColorInterpolationView::SetColor1Interpolation,222,matching,100.00,anm-vm-set-color1-interpolation,python3 scripts/build.py --unit anm-vm-set-color1-interpolation && python3 scripts/compare-coff-function.py --unit anm-vm-set-color1-interpolation --json
0x00450DD0,th095::SceneValueQueue::Push,78,matching,100.00,scene-value-queue-push,python3 scripts/build.py --unit scene-value-queue-push && python3 scripts/compare-coff-function.py --unit scene-value-queue-push --json
0x0044BEA0,th095::SceneSelectControllerView::BuildScenePreviewText,1989,matching,100.00,scene-select-build-preview-text,python3 scripts/build.py --unit scene-select-build-preview-text && python3 scripts/compare-coff-function.py --unit scene-select-build-preview-text --json
0x0044D020,th095::SceneSelectControllerView::ResolveSceneText,128,matching,100.00,scene-select-resolve-text,python3 scripts/build.py --unit scene-select-resolve-text && python3 scripts/compare-coff-function.py --unit scene-select-resolve-text --json
0x0044C670,th095::SceneSelectControllerView::UpdateSelectedSceneDetails,2278,matching,100.00,scene-select-update-details,python3 scripts/build.py --unit scene-select-update-details && python3 scripts/compare-coff-function.py --unit scene-select-update-details --json
0x0044CF60,th095::SceneSelectControllerView::SetDetailDigitSprite,53,matching,100.00,scene-select-set-detail-digit,python3 scripts/build.py --unit scene-select-set-detail-digit && python3 scripts/compare-coff-function.py --unit scene-select-set-detail-digit --json
0x0044CFA0,th095::SceneSelectControllerView::ShowDetailDigit,61,matching,100.00,scene-select-show-detail-digit,python3 scripts/build.py --unit scene-select-show-detail-digit && python3 scripts/compare-coff-function.py --unit scene-select-show-detail-digit --json
0x0044CFE0,th095::SceneSelectControllerView::HideDetailDigit,61,matching,100.00,scene-select-hide-detail-digit,python3 scripts/build.py --unit scene-select-hide-detail-digit && python3 scripts/compare-coff-function.py --unit scene-select-hide-detail-digit --json
0x0041BB00,th095::ReplayBrowserExitSignal::Request,21,matching,100.00,replay-browser-exit-signal,python3 scripts/build.py --unit replay-browser-exit-signal && python3 scripts/compare-coff-function.py --unit replay-browser-exit-signal --json
0x00450E20,th095::ReplayBrowserView::LoadReplaySlot,306,matching,100.00,replay-browser-load-slot,python3 scripts/build.py --unit replay-browser-load-slot && python3 scripts/compare-coff-function.py --unit replay-browser-load-slot --json
0x0041BAE0,th095::ReplayScanWorker::~ReplayScanWorker,19,matching,100.00,replay-scan-worker-destructor,python3 scripts/build.py --unit replay-scan-worker-destructor && python3 scripts/compare-coff-function.py --unit replay-scan-worker-destructor --json
0x0041BB20,th095::ReplayScanWorker::Stop,124,matching,100.00,replay-scan-worker-stop,python3 scripts/build.py --unit replay-scan-worker-stop && python3 scripts/compare-coff-function.py --unit replay-scan-worker-stop --json
0x0041BBA0,th095::ReplayScanWorker::Start,87,matching,100.00,replay-scan-worker-start,python3 scripts/build.py --unit replay-scan-worker-start && python3 scripts/compare-coff-function.py --unit replay-scan-worker-start --json
0x004255B0,th095::SceneSupervisorView::StartReplayScan,141,matching,100.00,supervisor-start-replay-scan,python3 scripts/build.py --unit supervisor-start-replay-scan && python3 scripts/compare-coff-function.py --unit supervisor-start-replay-scan --json
0x00425640,th095::SceneSupervisorView::StopReplayScan,25,matching,100.00,supervisor-stop-replay-scan,python3 scripts/build.py --unit supervisor-stop-replay-scan && python3 scripts/compare-coff-function.py --unit supervisor-stop-replay-scan --json
0x004193A0,th095::Controller::GetJoystickCaps,101,matching,100.00,controller-get-joystick-caps,python3 scripts/build.py --unit controller-get-joystick-caps && python3 scripts/compare-coff-function.py --unit controller-get-joystick-caps --json
0x00419410,th095::Controller::GetControllerInput,1030,matching,100.00,controller-get-controller-input,python3 scripts/build.py --unit controller-get-controller-input && python3 scripts/compare-coff-function.py --unit controller-get-controller-input --json
0x00419820,th095::Controller::SetButtonFromDirectInputJoystate,118,matching,100.00,controller-set-button-directinput,python3 scripts/build.py --unit controller-set-button-directinput && python3 scripts/compare-coff-function.py --unit controller-set-button-directinput --json
0x004198A0,th095::Controller::SetButtonFromControllerInputs,111,matching,100.00,controller-set-button-winmm,python3 scripts/build.py --unit controller-set-button-winmm && python3 scripts/compare-coff-function.py --unit controller-set-button-winmm --json
0x00419910,th095::Controller::GetControllerState,460,matching,100.00,controller-get-state,python3 scripts/build.py --unit controller-get-state && python3 scripts/compare-coff-function.py --unit controller-get-state --json
0x0041A550,th095::Controller::ResetKeyboard,110,matching,100.00,controller-reset-keyboard,python3 scripts/build.py --unit controller-reset-keyboard && python3 scripts/compare-coff-function.py --unit controller-reset-keyboard --json
0x0041A5C0,th095::FileSystem::Decrypt,464,matching,100.00,file-system-decrypt,python3 scripts/build.py --unit file-system-decrypt && python3 scripts/compare-coff-function.py --unit file-system-decrypt --json
0x0041A790,th095::FileSystem::Encrypt,464,matching,100.00,file-system-encrypt,python3 scripts/build.py --unit file-system-encrypt && python3 scripts/compare-coff-function.py --unit file-system-encrypt --json
0x0041A960,th095::FileSystem::OpenFile,576,matching,100.00,file-system-open-file,python3 scripts/build.py --unit file-system-open-file && python3 scripts/compare-coff-function.py --unit file-system-open-file --json
0x0041ABA0,th095::FileSystem::CheckIfFileAlreadyExists,175,matching,100.00,file-system-check-exists,python3 scripts/build.py --unit file-system-check-exists && python3 scripts/compare-coff-function.py --unit file-system-check-exists --json
0x00451B00,th095::SkipMusicCommentLine,141,matching,100.00,music-room-skip-comment-line,python3 scripts/build.py --unit music-room-skip-comment-line && python3 scripts/compare-coff-function.py --unit music-room-skip-comment-line --json
0x00451B90,th095::ReadMusicCommentLine,233,matching,100.00,music-room-read-comment-line,python3 scripts/build.py --unit music-room-read-comment-line && python3 scripts/compare-coff-function.py --unit music-room-read-comment-line --json
